Type,QTY in kg/ box,Selling Price per units,Cost price per units,Total Cost,Total Sale,Profit
Pears,50,R45.00,R44.75,"R2,237.50","R2,250.00",R12.50
Grapefruits,50,R50.00,R49.75,"R2,487.50","R2,500.00",R12.50
Banana,50,R65.00,R64.75,"R3,237.50","R3,250.00",R12.50
Apple,50,R45.00,R44.75,"R2,237.50","R2,250.00",R12.50
Orange,50,R50.00,R49.75,"R2,487.50","R2,500.00",R12.50
Appricot,50,R55.00,R54.75,"R2,737.50","R2,750.00",R12.50
Tomato,50,R65.00,R64.75,"R3,237.50","R3,250.00",R12.50
Avocando,50,R75.00,R74.75,"R3,737.50","R3,750.00",R12.50
Carbadge,50,R80.00,R79.75,"R3,987.50","R4,000.00",R12.50
Potatoes,100,R35.00,R34.75,"R3,475.00","R3,500.00",R25.00
Carrots,100,R30.00,R29.75,"R2,975.00","R3,000.00",R25.00
